,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,Eagles,8,0,0,1.000,225,135,90,4 - 0 - 0,4 - 0 - 0,2 - 0 - 0,1.000,5 - 0 - 0,1.000,3 - 0 - 0,8W,5 - 0 - 0
1,Vikings,7,1,0,0.875,193,161,32,4 - 0 - 0,3 - 1 - 0,3 - 0 - 0,1.000,6 - 1 - 0,0.857,1 - 0 - 0,6W,5 - 0 - 0
2,Seahawks,6,3,0,0.667,241,220,21,3 - 1 - 0,3 - 2 - 0,2 - 1 - 0,0.667,4 - 3 - 0,0.571,2 - 0 - 0,4W,4 - 1 - 0
3,Jets,6,3,0,0.667,196,176,20,2 - 3 - 0,4 - 0 - 0,2 - 1 - 0,0.667,5 - 3 - 0,0.625,1 - 0 - 0,1W,4 - 1 - 0
4,Giants,6,2,0,0.750,163,157,6,3 - 1 - 0,3 - 1 - 0,0 - 1 - 0,0.000,3 - 2 - 0,0.600,3 - 0 - 0,1L,4 - 1 - 0
5,Dolphins,6,3,0,0.667,213,224,-11,3 - 1 - 0,3 - 2 - 0,2 - 1 - 0,0.667,4 - 2 - 0,0.667,2 - 1 - 0,3W,3 - 2 - 0
6,Chiefs,6,2,0,0.750,243,189,54,3 - 1 - 0,3 - 1 - 0,2 - 0 - 0,1.000,3 - 2 - 0,0.600,3 - 0 - 0,2W,4 - 1 - 0
7,Cowboys,6,2,0,0.750,183,133,50,4 - 1 - 0,2 - 1 - 0,2 - 1 - 0,0.667,5 - 2 - 0,0.714,1 - 0 - 0,2W,4 - 1 - 0
8,Bills,6,2,0,0.750,220,118,102,3 - 0 - 0,3 - 2 - 0,0 - 2 - 0,0.000,4 - 2 - 0,0.667,2 - 0 - 0,1L,4 - 1 - 0
9,Ravens,6,3,0,0.667,235,196,39,2 - 2 - 0,4 - 1 - 0,2 - 0 - 0,1.000,4 - 2 - 0,0.667,2 - 1 - 0,3W,4 - 1 - 0
10,Titans,5,3,0,0.625,149,158,-9,2 - 1 - 0,3 - 2 - 0,3 - 0 - 0,1.000,4 - 2 - 0,0.667,1 - 1 - 0,1L,4 - 1 - 0
11,Patriots,5,4,0,0.556,203,166,37,2 - 2 - 0,3 - 2 - 0,1 - 1 - 0,0.500,4 - 2 - 0,0.667,1 - 2 - 0,2W,4 - 1 - 0
12,Chargers,5,3,0,0.625,184,206,-22,2 - 2 - 0,3 - 1 - 0,2 - 1 - 0,0.667,4 - 2 - 0,0.667,1 - 1 - 0,1W,4 - 1 - 0
13,Bengals,5,4,0,0.556,228,185,43,3 - 1 - 0,2 - 3 - 0,0 - 3 - 0,0.000,2 - 3 - 0,0.400,3 - 1 - 0,1W,3 - 2 - 0
14,Commanders,4,5,0,0.444,159,192,-33,2 - 3 - 0,2 - 2 - 0,0 - 2 - 0,0.000,2 - 4 - 0,0.333,2 - 1 - 0,1L,3 - 2 - 0
15,Buccaneers,4,5,0,0.444,162,164,-2,2 - 3 - 0,2 - 2 - 0,2 - 1 - 0,0.667,4 - 2 - 0,0.667,0 - 3 - 0,1W,2 - 3 - 0
16,49ers,4,4,0,0.500,176,147,29,2 - 1 - 0,2 - 3 - 0,3 - 0 - 0,1.000,4 - 2 - 0,0.667,0 - 2 - 0,1W,3 - 2 - 0
17,Falcons,4,5,0,0.444,217,225,-8,3 - 2 - 0,1 - 3 - 0,1 - 2 - 0,0.333,3 - 3 - 0,0.500,1 - 2 - 0,1L,2 - 3 - 0
18,Saints,3,6,0,0.333,212,227,-15,2 - 4 - 0,1 - 2 - 0,1 - 2 - 0,0.333,2 - 4 - 0,0.333,1 - 2 - 0,1L,2 - 3 - 0
19,Rams,3,5,0,0.375,131,173,-42,2 - 3 - 0,1 - 2 - 0,1 - 2 - 0,0.333,3 - 4 - 0,0.429,0 - 1 - 0,2L,1 - 4 - 0
20,Jaguars,3,6,0,0.333,199,178,21,2 - 3 - 0,1 - 3 - 0,1 - 2 - 0,0.333,3 - 3 - 0,0.500,0 - 3 - 0,1W,1 - 4 - 0
21,Colts,3,5,1,0.389,132,183,-51,2 - 2 - 0,1 - 3 - 1,1 - 3 - 1,0.300,3 - 4 - 1,0.438,0 - 1 - 0,3L,2 - 3 - 0
22,Packers,3,6,0,0.333,154,188,-34,2 - 2 - 0,1 - 4 - 0,1 - 2 - 0,0.333,2 - 4 - 0,0.333,1 - 2 - 0,5L,0 - 5 - 0
23,Broncos,3,5,0,0.375,121,132,-11,2 - 2 - 0,1 - 3 - 0,0 - 2 - 0,0.000,2 - 4 - 0,0.333,1 - 1 - 0,1W,1 - 4 - 0
24,Browns,3,5,0,0.375,200,199,1,2 - 3 - 0,1 - 2 - 0,2 - 1 - 0,0.667,2 - 4 - 0,0.333,1 - 1 - 0,1W,1 - 4 - 0
25,Bears,3,6,0,0.333,187,216,-29,2 - 2 - 0,1 - 4 - 0,0 - 2 - 0,0.000,1 - 5 - 0,0.167,2 - 1 - 0,2L,1 - 4 - 0
26,Cardinals,3,6,0,0.333,203,241,-38,1 - 4 - 0,2 - 2 - 0,0 - 3 - 0,0.000,2 - 5 - 0,0.286,1 - 1 - 0,2L,1 - 4 - 0
27,Steelers,2,6,0,0.250,120,197,-77,1 - 2 - 0,1 - 4 - 0,1 - 1 - 0,0.500,1 - 5 - 0,0.167,1 - 1 - 0,2L,1 - 4 - 0
28,Raiders,2,6,0,0.250,183,201,-18,2 - 1 - 0,0 - 5 - 0,1 - 2 - 0,0.333,2 - 4 - 0,0.333,0 - 2 - 0,2L,2 - 3 - 0
29,Lions,2,6,0,0.250,188,234,-46,2 - 3 - 0,0 - 3 - 0,1 - 1 - 0,0.500,2 - 4 - 0,0.333,0 - 2 - 0,1W,1 - 4 - 0
30,Panthers,2,7,0,0.222,179,228,-49,2 - 3 - 0,0 - 4 - 0,2 - 1 - 0,0.667,2 - 5 - 0,0.286,0 - 2 - 0,2L,1 - 4 - 0
31,Texans,1,6,1,0.188,133,183,-50,0 - 3 - 1,1 - 3 - 0,1 - 1 - 1,0.500,1 - 4 - 1,0.250,0 - 2 - 0,3L,1 - 4 - 0
